,NO,일반/집합 구분,대지위치,도로명주소,건물명칭,동명칭,세대,호,가구,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률산정용면적(㎡),건폐율(%),용적률(%),주구조,용도,지붕구조,지하층수(층),지상층수(층),높이(ｍ),부속건축물(동),부속건축물(㎡),주차장_자주식_옥내(대),주차장_자주식_옥외(대),주차장_자주식_인근(대),주차장_기계식_옥내(대),주차장_기계식_옥외(대),주차장_기계식_인근(대),주차장면제(대),승용승강기(대),비상용승강기(대),허가일자,착공일자,사용승인일자,에너지효율등급,에너지절감률(%),에너지성능지표(EPI)점수,친환경인증등급,친환경인증점수,지능형인증등급,지능형인증점수,위도,경도,위경도
986,103,일반,서울특별시 용산구 한강로3가 3-23,서울특별시 용산구 청파로 ,나진상가 15동,1,0,0,0,1992.9,1066.99,4494.68,2730.08,53.539565,136.99031,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,8.4,0,0,0,9,0,0,24,0,0,0,0,,,1981-11-03,,0,0,,0,,0,37.5330552,126.9637647,"(37.5330552,126.9637647)"
987,104,집합,서울특별시 용산구 한강로3가 40-999,서울특별시 용산구 한강대로23길 ,에이치디씨아이파크몰(본점),,0,10,0,118138.5,57053.42,325587.41,198967.97,48.29,168.42,철골철근콘크리트구조,판매시설,기타지붕,3,9,63.1,0,0,2310,173,0,0,0,0,0,37,11,,,2005-04-26,,0,0,,0,,0,37.5295628,126.9641607,"(37.5295628,126.9641607)"
988,105,집합,서울특별시 용산구 한강로3가 82,서울특별시 용산구 청파로 113-11,전자타운상가,에이동,67,0,0,925.1,369.36,4265.08,2247.6,39.93,242.96,철근콘크리트구조,판매시설,(철근)콘크리트,3,7,22.75,0,0,12,5,0,0,0,0,0,1,0,1988-09-12,1990-04-26,1993-03-08,,0,0,,0,,0,37.5339908,126.9636941,"(37.5339908,126.963694099999)"
989,106,일반,서울특별시 용산구 효창동 5-94,서울특별시 용산구 효창원로64길 19-5,,,0,0,0,269.9,134.65,746.59,573.91,49.89,212.64,철근콘크리트구조,판매시설,(철근)콘크리트,1,6,17.96,0,0,0,7,0,0,0,0,0,1,0,,,1993-12-18,,0,0,,0,,0,37.5404642,126.96284,"(37.5404642,126.96284)"
990,107,일반,서울특별시 용산구 후암동 103,서울특별시 용산구  ,,,0,0,0,0,13.23,13.23,13.23,0,0,일반목구조,판매시설,기타지붕,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1954-05-01,,0,0,,0,,0,37.5501263,126.9764491,"(37.5501263,126.9764491)"
991,1,일반,서울특별시 관악구 남현동 612-51,서울특별시 관악구 과천대로 909,남현프라자,,0,0,0,8346,1556.07,32282.46,4159.14,18.64,49.83,철골철근콘크리트구조,판매시설,(철근)콘크리트,5,3,18.3,0,0,355,346,0,0,0,0,0,2,0,2012-01-13,2012-02-24,2013-09-10,,0,0,,0,,0,37.47149,126.9824173,"(37.47149,126.9824173)"
992,2,집합,서울특별시 관악구 봉천동 1000,서울특별시 관악구 관악로40길 ,현대상가,1동,105,0,0,0,1464.99,6839.76,5529.27,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1987-05-29,,1992-04-27,,0,0,,0,,0,37.4922607,126.9584631,"(37.4922607,126.9584631)"
993,3,일반,서울특별시 관악구 봉천동 1021-1,서울특별시 관악구 은천로39길 ,,,0,0,0,811.9,366.83,1331.08,951.2,45.18,117.16,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,0,0,0,1,7,0,0,0,0,0,0,0,1984-10-08,,1985-11-20,,0,0,,0,,0,37.4882664,126.955375,"(37.4882664,126.955375)"
994,4,집합,서울특별시 관악구 봉천동 31-1,서울특별시 관악구 관악로 212,관악프라자,,0,136,0,2638,1527.79,7870.1,6046.28,57.91,229.2,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,21.4,0,0,41,27,0,0,0,0,0,1,0,1986-04-25,,1987-12-18,,0,63,,0,,0,37.4836279,126.9551579,"(37.4836279,126.9551579)"
995,5,일반,서울특별시 관악구 봉천동 32-2,서울특별시 관악구 관악로 211,,,0,0,0,0,0,1268.86,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1970-11-09,,0,0,,0,,0,37.4839573,126.9542168,"(37.4839573,126.9542168)"
996,6,집합,서울특별시 관악구 봉천동 503-1,서울특별시 관악구 양녕로 49,,,0,192,0,0,1873.72,2040.23,1873.72,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1970-09-08,,0,0,,0,,0,37.4863968,126.946511,"(37.4863968,126.946511)"
997,7,집합,서울특별시 관악구 봉천동 859-17,서울특별시 관악구 관악로 ,관악위버폴리스,위버폴리스,108,66,0,2826.5,1652.071,32278.865,19764.401,58.45,699.23,철근콘크리트구조,판매시설,(철근)콘크리트,6,20,72.75,0,0,248,0,0,0,0,0,0,2,4,2004-11-01,2007-04-01,2010-02-22,,0,62,,0,,0,37.4827355,126.9532389,"(37.4827355,126.9532389)"
998,8,집합,서울특별시 관악구 봉천동 862-1,서울특별시 관악구 남부순환로 ,,에그옐로우,0,669,0,1915.3,1149.03,26450.99,15321.39,59.99,799.94,철골철근콘크리트구조,판매시설,(철근)콘크리트,8,15,71.8,0,0,174,0,0,0,0,0,0,3,1,2003-09-16,2004-01-16,2006-08-08,,0,61,,0,,0,37.4810535,126.9522146,"(37.4810535,126.9522146)"
999,9,일반,서울특별시 관악구 봉천동 878-6,서울특별시 관악구 쑥고개로 111,GS수퍼마켓봉천점,,0,0,0,3674,1588.54,1962.86,1962.86,43.24,53.43,일반철골구조,판매시설,기타지붕,0,3,13.78,0,0,0,29,0,0,0,0,0,0,0,2001-11-20,2001-12-07,2002-04-08,,0,0,,0,,0,37.4794734,126.949154,"(37.4794734,126.949154)"
1000,10,일반,서울특별시 관악구 봉천동 883-12,서울특별시 관악구 남부순환로 ,롯데하이마트,,0,0,0,898.8,482.04,1646.79,1646.79,53.63,183.22,일반철골구조,판매시설,(철근)콘크리트,0,4,20.3,0,0,12,4,0,0,0,0,0,1,0,2013-03-29,2013-04-13,2013-08-09,,0,0,,0,,0,37.4814811,126.9477866,"(37.4814811,126.9477866)"
1001,11,일반,서울특별시 관악구 봉천동 893-21,서울특별시 관악구 양녕로 6,LG전자 베스트샵 봉천점,,0,0,0,1330.3,792.54,2615.22,2615.22,59.58,196.59,일반철골구조,판매시설,기타지붕,0,5,25.7,0,0,0,24,0,0,0,0,0,1,0,2018-04-06,2018-05-18,2018-09-18,,0,0,,0,,0,37.4824878,126.9468309,"(37.4824878,126.9468309)"
1002,12,집합,서울특별시 관악구 봉천동 914-18,서울특별시 관악구 청룡2길 19,.,,0,5,0,0,76.2,76.2,76.2,0,0,블록구조,판매시설,(철근)콘크리트,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1977-08-06,,0,0,,0,,0,37.4812489,126.9451695,"(37.4812489,126.9451695)"
1003,13,집합,서울특별시 관악구 봉천동 914-18,서울특별시 관악구 청룡2길 19,,,0,35,0,0,678.15,2239.97,0,0,0,철근콘크리트구조,판매시설,기와,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1977-08-06,,0,0,,0,,0,37.4812489,126.9451695,"(37.4812489,126.9451695)"
1004,14,집합,서울특별시 관악구 봉천동 921-1,서울특별시 관악구 청룡2길 29,,,0,59,0,0,475.74,1459.89,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1976-09-13,,0,0,,0,,0,37.4813109,126.9445064,"(37.4813109,126.9445064)"
1005,15,일반,서울특별시 관악구 봉천동 951-25,서울특별시 관악구 은천로 28,봉일프라자,가동,0,0,0,0,594.05,2076.71,1877.37,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,11.3,0,0,0,0,0,0,0,0,0,0,0,,,1971-12-06,,0,0,,0,,0,37.4858884,126.9384528,"(37.4858883999999,126.9384528)"
1006,16,일반,서울특별시 관악구 신림동 1422-4,서울특별시 관악구 남부순환로 1635,,,0,0,0,0,0,1198.92,932.02,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,6,0,0,0,0,5,0,0,0,0,0,0,0,1987-01-08,,1987-09-14,,0,0,,0,,0,37.4848592,126.9323497,"(37.4848592,126.9323497)"
1007,17,집합,서울특별시 관악구 신림동 1422-5,서울특별시 관악구 신림로 ,르네상스 복합쇼핑몰,르네상스 복합쇼핑몰,0,682,0,1877.3,1125.59,22986.82,14228.12,59.96,757.9,철골철근콘크리트구조,판매시설,(철근)콘크리트,7,15,70.64,0,0,132,0,0,58,0,0,0,2,1,2002-02-06,2002-05-30,2004-08-30,,0,0,,0,,0,37.484783,126.9300981,"(37.484783,126.9300981)"
1008,18,집합,서울특별시 관악구 신림동 1563-82,서울특별시 관악구 미성5길 33,한양아파트,상가동,5,0,0,0,72,387.9,144,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1990-02-16,,1992-02-18,,0,0,,0,,0,37.4730334,126.9150426,"(37.4730334,126.9150426)"
1009,19,일반,서울특별시 관악구 신림동 1641-2,서울특별시 관악구 신림로 330,타임스트림,,0,0,0,2873.8,1721.55,37758.82,21068.5,59.91,733.12,철골철근콘크리트구조,판매시설,(철근)콘크리트,8,15,66.1,0,0,264,0,0,0,0,0,0,6,1,2004-02-26,2005-11-11,2009-06-30,,0,0,,0,,0,37.4838521,126.9301841,"(37.4838521,126.9301841)"
1010,20,일반,서울특별시 관악구 신림동 1655-16,서울특별시 관악구 시흥대로 560,,,0,0,0,412.3,209.37,834.8,579.6,50.78,140.58,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1982-11-17,,1983-03-28,,0,0,,0,,0,37.4829181,126.9020359,"(37.4829181,126.9020359)"
1011,21,집합,서울특별시 관악구 신림동 1668,서울특별시 관악구 남부순환로 ,관악농협 농산물백화점,관악농협 농산물백화점,0,16,0,5004.5,2210.39,29504.05,12003.99,44.17,239.86,철근콘크리트구조,판매시설,(철근)콘크리트,5,6,27.8,0,0,286,2,0,0,0,0,0,2,1,2007-03-02,2007-03-08,2009-05-13,,0,0,,0,,0,37.480103,126.9028306,"(37.480103,126.9028306)"
1012,22,집합,서울특별시 관악구 신림동 1694,서울특별시 관악구 신림로29길 3-20,신림현대,종합상가,0,99,0,0,0,5053.56,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1987-04-30,1989-10-26,1993-05-25,,0,0,,0,,0,37.4751229,126.9324862,"(37.4751229,126.9324862)"
1013,23,일반,서울특별시 관악구 신림동 390-1,서울특별시 관악구 원신2길 34,,,0,0,0,0,0,1489.56,1289.89,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,1,13.26,0,0,0,0,0,0,0,0,0,,,1971-08-12,,0,0,,0,,0,37.4709014,126.9322441,"(37.4709014,126.9322441)"
1014,24,집합,서울특별시 관악구 신림동 505-1,서울특별시 관악구 남부순환로157길 63,,,0,3,0,0,1963.74,4059.93,3680,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1977-03-09,,0,0,,0,,0,37.4846679,126.9171017,"(37.4846679,126.9171017)"
1015,25,일반,서울특별시 관악구 신림동 527-10,서울특별시 관악구 남부순환로 1483,,,0,0,1,536.2,0,0,0,0,0,일반철골구조,판매시설,기타지붕,1,5,18.85,0,0,0,2,0,0,8,0,0,1,0,1986-03-17,,1986-12-07,,0,0,,0,,0,37.4823089,126.9152929,"(37.4823089,126.9152929)"
1016,26,일반,서울특별시 관악구 신림동 527-9,서울특별시 관악구 남부순환로 ,,,0,0,0,536.2,263.2,973.82,714.38,49.09,133.23,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,14.7,0,0,0,0,0,0,0,0,0,0,0,1984-03-27,,1984-09-05,,0,0,,0,,0,37.482276,126.9151125,"(37.482276,126.9151125)"
1017,27,일반,서울특별시 관악구 신림동 538-2,서울특별시 관악구 남부순환로 ,,,0,0,0,739.6,368.6,1299.37,1119.87,49.84,151.42,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,12.1,0,0,0,3,0,0,0,0,0,0,0,,,1974-09-25,,0,0,,0,,0,37.4820995,126.9142191,"(37.4820995,126.914219099999)"
1018,28,집합,서울특별시 관악구 신림동 541,서울특별시 관악구 조원로16길 ,,,0,293,0,0,2318.02,6280.34,0,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1978-07-29,,0,0,,0,,0,37.4832209,126.911437,"(37.4832209,126.911437)"
